コード,銘柄名,市場・商品区分,33業種区分,規模区分
3633,ＧＭＯペパボ,東証1部,情報・通信業,TOPIX Small 2
3634,ソケッツ,東証2部,情報・通信業,-
3635,コーエーテクモホールディングス,東証1部,情報・通信業,TOPIX Mid400
3636,三菱総合研究所,東証1部,情報・通信業,TOPIX Small 1
3639,ボルテージ,東証1部,情報・通信業,TOPIX Small 2
3640,電算,東証1部,情報・通信業,TOPIX Small 2
3641,パピレス,JASDAQ,情報・通信業,-
3645,メディカルネット,マザーズ,情報・通信業,-
3646,駅探,マザーズ,情報・通信業,-
3647,ジー・スリーホールディングス,東証2部,情報・通信業,-
3648,ＡＧＳ,東証1部,情報・通信業,TOPIX Small 2
3649,ファインデックス,東証1部,情報・通信業,TOPIX Small 2
3652,ディジタルメディアプロフェッショナル,マザーズ,情報・通信業,-
3653,モルフォ,マザーズ,情報・通信業,-
3655,ブレインパッド,東証1部,情報・通信業,TOPIX Small 1
3656,ＫＬａｂ,東証1部,情報・通信業,TOPIX Small 1
3657,ポールトゥウィン・ピットクルーホールディングス,東証1部,情報・通信業,TOPIX Small 1
3659,ネクソン,東証1部,情報・通信業,TOPIX Mid400
3660,アイスタイル,東証1部,情報・通信業,TOPIX Small 1
3661,エムアップホールディングス,東証1部,情報・通信業,TOPIX Small 2
3662,エイチーム,東証1部,情報・通信業,TOPIX Small 2
3663,アートスパークホールディングス,東証2部,情報・通信業,-
3664,モブキャストホールディングス,マザーズ,情報・通信業,-
3665,エニグモ,東証1部,情報・通信業,TOPIX Small 1
3666,テクノスジャパン,東証1部,情報・通信業,TOPIX Small 2
3667,ｅｎｉｓｈ,東証1部,情報・通信業,TOPIX Small 2
3668,コロプラ,東証1部,情報・通信業,TOPIX Small 1
3670,協立情報通信,JASDAQ,情報・通信業,-
3671,ソフトマックス,マザーズ,情報・通信業,-
3672,オルトプラス,東証1部,情報・通信業,TOPIX Small 2
3673,ブロードリーフ,東証1部,情報・通信業,TOPIX Small 1
3674,オークファン,マザーズ,情報・通信業,-
3675,クロス・マーケティンググループ,東証1部,情報・通信業,TOPIX Small 2
3676,デジタルハーツホールディングス,東証1部,情報・通信業,TOPIX Small 2
3677,システム情報,東証1部,情報・通信業,TOPIX Small 2
3678,メディアドゥ,東証1部,情報・通信業,TOPIX Small 1
3679,じげん,東証1部,情報・通信業,TOPIX Small 2
3680,ホットリンク,マザーズ,情報・通信業,-
3681,ブイキューブ,東証1部,情報・通信業,TOPIX Small 1
3682,エンカレッジ・テクノロジ,東証1部,情報・通信業,TOPIX Small 2
3683,サイバーリンクス,東証1部,情報・通信業,TOPIX Small 2
3686,ディー・エル・イー,東証1部,情報・通信業,TOPIX Small 2
3687,フィックスターズ,東証1部,情報・通信業,TOPIX Small 2
3688,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,東証1部,情報・通信業,TOPIX Small 2
3690,イルグルム,マザーズ,情報・通信業,-
3691,リアルワールド,マザーズ,情報・通信業,-
3692,ＦＦＲＩセキュリティ,マザーズ,情報・通信業,-
3694,オプティム,東証1部,情報・通信業,TOPIX Small 1
3695,ＧＭＯリサーチ,マザーズ,情報・通信業,-
3696,セレス,東証1部,情報・通信業,TOPIX Small 2
3697,ＳＨＩＦＴ,東証1部,情報・通信業,TOPIX Mid400
3698,ＣＲＩ・ミドルウェア,マザーズ,情報・通信業,-
3708,特種東海製紙,東証1部,パルプ・紙,TOPIX Small 2
3710,ジョルダン,JASDAQ,情報・通信業,-
3712,情報企画,東証2部,情報・通信業,-
3719,ジェクシード,JASDAQ,情報・通信業,-
3723,日本ファルコム,マザーズ,情報・通信業,-
3726,フォーシーズＨＤ,東証2部,小売業,-
3727,アプリックス,マザーズ,情報・通信業,-
3733,ソフトウェア・サービス,JASDAQ,情報・通信業,-
3738,ティーガイア,東証1部,情報・通信業,TOPIX Small 1
3741,セック,東証1部,情報・通信業,TOPIX Small 2
3744,サイオス,東証2部,情報・通信業,-
3747,インタートレード,東証2部,情報・通信業,-
3750,ＦＲＡＣＴＡＬＥ,東証2部,情報・通信業,-
3753,フライトホールディングス,東証2部,情報・通信業,-
3758,アエリア,JASDAQ,情報・通信業,-
3760,ケイブ,JASDAQ,情報・通信業,-
3762,テクマトリックス,東証1部,情報・通信業,TOPIX Small 1
3763,プロシップ,東証1部,情報・通信業,TOPIX Small 2
3765,ガンホー・オンライン・エンターテイメント,東証1部,情報・通信業,TOPIX Mid400
3766,システムズ・デザイン,JASDAQ,情報・通信業,-
3768,リスクモンスター,東証2部,情報・通信業,-
3769,ＧＭＯペイメントゲートウェイ,東証1部,情報・通信業,TOPIX Mid400
3770,ザッパラス,東証1部,情報・通信業,TOPIX Small 2
3771,システムリサーチ,東証1部,情報・通信業,TOPIX Small 2
3772,ウェルス・マネジメント,東証2部,不動産業,-
3773,アドバンスト・メディア,マザーズ,情報・通信業,-
3774,インターネットイニシアティブ,東証1部,情報・通信業,TOPIX Mid400
3776,ブロードバンドタワー,JASDAQ,情報・通信業,-
3777,ＦＨＴホールディングス,JASDAQ,情報・通信業,-
3778,さくらインターネット,東証1部,情報・通信業,TOPIX Small 2
3779,ジェイ・エスコムホールディングス,JASDAQ,情報・通信業,-
3782,ディー・ディー・エス,マザーズ,情報・通信業,-
3784,ヴィンクス,東証1部,情報・通信業,TOPIX Small 2
3787,テクノマセマティカル,東証2部,情報・通信業,-
3788,ＧＭＯグローバルサイン・ホールディングス,東証1部,情報・通信業,TOPIX Small 2
3791,ＩＧポート,JASDAQ,情報・通信業,-
3793,ドリコム,マザーズ,情報・通信業,-
3796,いい生活,東証2部,情報・通信業,-
3798,ＵＬＳグループ,JASDAQ,情報・通信業,-
3799,キーウェアソリューションズ,東証2部,情報・通信業,-
3800,ユニリタ,JASDAQ,情報・通信業,-
3802,エコミック,JASDAQ,情報・通信業,-
3803,イメージ情報開発,JASDAQ,情報・通信業,-
3804,システム　ディ,JASDAQ,情報・通信業,-
3807,フィスコ,JASDAQ,情報・通信業,-
3810,サイバーステップ,東証2部,情報・通信業,-
3814,アルファクス・フード・システム,JASDAQ,情報・通信業,-
3815,メディア工房,マザーズ,情報・通信業,-
3816,大和コンピューター,JASDAQ,情報・通信業,-
3817,ＳＲＡホールディングス,東証1部,情報・通信業,TOPIX Small 2
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,東証2部,情報・通信業,-
3825,リミックスポイント,東証2部,情報・通信業,-
3826,システムインテグレータ,東証1部,情報・通信業,TOPIX Small 2
3834,朝日ネット,東証1部,情報・通信業,TOPIX Small 2
3835,ｅＢＡＳＥ,東証1部,情報・通信業,TOPIX Small 2
3836,アバント,東証1部,情報・通信業,TOPIX Small 1
3837,アドソル日進,東証1部,情報・通信業,TOPIX Small 2
3839,ＯＤＫソリューションズ,東証1部,情報・通信業,TOPIX Small 2
3840,パス,東証2部,情報・通信業,-
3841,ジーダット,JASDAQ,情報・通信業,-
3842,ネクストジェン,JASDAQ,情報・通信業,-
3843,フリービット,東証1部,情報・通信業,TOPIX Small 2
3844,コムチュア,東証1部,情報・通信業,TOPIX Small 1
3845,アイフリークモバイル,JASDAQ,情報・通信業,-
3847,パシフィックシステム,JASDAQ,情報・通信業,-
3848,データ・アプリケーション,JASDAQ,情報・通信業,-
3850,エヌ・ティ・ティ・データ・イントラマート,東証2部,情報・通信業,-
3851,日本一ソフトウェア,JASDAQ,情報・通信業,-
3852,サイバーコム,東証1部,情報・通信業,TOPIX Small 2
3853,アステリア,東証1部,情報・通信業,TOPIX Small 2
3854,アイル,東証1部,情報・通信業,TOPIX Small 2
3856,Ａｂａｌａｎｃｅ,東証2部,電気機器,-
3857,ラック,JASDAQ,情報・通信業,-
3858,ユビキタスＡＩコーポレーション,JASDAQ,情報・通信業,-
3861,王子ホールディングス,東証1部,パルプ・紙,TOPIX Mid400
3863,日本製紙,東証1部,パルプ・紙,TOPIX Mid400
3864,三菱製紙,東証1部,パルプ・紙,TOPIX Small 2
3865,北越コーポレーション,東証1部,パルプ・紙,TOPIX Small 1
3877,中越パルプ工業,東証1部,パルプ・紙,TOPIX Small 2
3878,巴川製紙所,東証1部,パルプ・紙,TOPIX Small 2
3880,大王製紙,東証1部,パルプ・紙,TOPIX Mid400
3891,ニッポン高度紙工業,JASDAQ,パルプ・紙,-
3892,岡山製紙,JASDAQ,パルプ・紙,-
3895,ハビックス,JASDAQ,パルプ・紙,-
3896,阿波製紙,東証1部,パルプ・紙,TOPIX Small 2
3900,クラウドワークス,マザーズ,情報・通信業,-
3901,マークラインズ,東証1部,情報・通信業,TOPIX Small 1
3902,メディカル・データ・ビジョン,東証1部,情報・通信業,TOPIX Small 1
3903,ｇｕｍｉ,東証1部,情報・通信業,TOPIX Small 1
3904,カヤック,マザーズ,情報・通信業,-
3905,データセクション,マザーズ,情報・通信業,-
3906,ＡＬＢＥＲＴ,マザーズ,情報・通信業,-
3907,シリコンスタジオ,マザーズ,情報・通信業,-
3908,コラボス,マザーズ,情報・通信業,-
3909,ショーケース,東証1部,情報・通信業,TOPIX Small 2
3910,エムケイシステム,JASDAQ,情報・通信業,-
3911,Ａｉｍｉｎｇ,マザーズ,情報・通信業,-
3912,モバイルファクトリー,東証1部,情報・通信業,TOPIX Small 2
3913,ｓＭｅｄｉｏ,マザーズ,情報・通信業,-
3914,ＪＩＧ－ＳＡＷ,マザーズ,情報・通信業,-
3915,テラスカイ,東証1部,情報・通信業,TOPIX Small 2
3916,デジタル・インフォメーション・テクノロジー,東証1部,情報・通信業,TOPIX Small 2
3917,アイリッジ,マザーズ,情報・通信業,-
3918,ＰＣＩホールディングス,東証1部,情報・通信業,TOPIX Small 2
3919,パイプドＨＤ,東証1部,情報・通信業,TOPIX Small 2
3920,アイビーシー,東証1部,情報・通信業,TOPIX Small 2
3921,ネオジャパン,東証1部,情報・通信業,TOPIX Small 2
3922,ＰＲ　ＴＩＭＥＳ,東証1部,情報・通信業,TOPIX Small 2
3923,ラクス,東証1部,情報・通信業,TOPIX Mid400
3924,ランドコンピュータ,東証1部,情報・通信業,TOPIX Small 2
3925,ダブルスタンダード,東証1部,情報・通信業,TOPIX Small 2
3926,オープンドア,東証1部,情報・通信業,TOPIX Small 1
3927,フーバーブレイン,マザーズ,情報・通信業,-
3928,マイネット,東証1部,情報・通信業,TOPIX Small 2
3929,ソーシャルワイヤー,マザーズ,情報・通信業,-
3930,はてな,マザーズ,情報・通信業,-
3931,バリューゴルフ,マザーズ,情報・通信業,-
3932,アカツキ,東証1部,情報・通信業,TOPIX Small 1
3933,チエル,JASDAQ,情報・通信業,-
3934,ベネフィットジャパン,東証1部,情報・通信業,TOPIX Small 2
3935,エディア,マザーズ,情報・通信業,-
3936,グローバルウェイ,マザーズ,情報・通信業,-
3937,Ｕｂｉｃｏｍホールディングス,東証1部,情報・通信業,TOPIX Small 2
3939,カナミックネットワーク,東証1部,情報・通信業,TOPIX Small 2
3940,ノムラシステムコーポレーション,東証1部,情報・通信業,TOPIX Small 2
3941,レンゴー,東証1部,パルプ・紙,TOPIX Mid400
3943,大石産業,東証2部,パルプ・紙,-
3944,古林紙工,東証2部,パルプ・紙,-
3945,スーパーバッグ,東証2部,パルプ・紙,-
3946,トーモク,東証1部,パルプ・紙,TOPIX Small 2
3947,ダイナパック,東証2部,パルプ・紙,-
3948,光ビジネスフォーム,JASDAQ,パルプ・紙,-
3950,ザ・パック,東証1部,パルプ・紙,TOPIX Small 2
3951,朝日印刷,東証2部,パルプ・紙,-
3953,大村紙業,JASDAQ,パルプ・紙,-
3954,昭和パックス,JASDAQ,パルプ・紙,-
3955,イムラ封筒,東証2部,パルプ・紙,-
3960,バリューデザイン,マザーズ,情報・通信業,-
3961,シルバーエッグ・テクノロジー,マザーズ,情報・通信業,-
3962,チェンジ,東証1部,情報・通信業,TOPIX Small 1
3963,シンクロ・フード,東証1部,情報・通信業,TOPIX Small 2
3964,オークネット,東証1部,情報・通信業,TOPIX Small 2
3965,キャピタル・アセット・プランニング,東証1部,情報・通信業,TOPIX Small 2
3966,ユーザベース,マザーズ,情報・通信業,-
3967,エルテス,マザーズ,情報・通信業,-
3968,セグエグループ,東証1部,情報・通信業,TOPIX Small 2
3969,エイトレッド,東証1部,情報・通信業,TOPIX Small 2
3970,イノベーション,マザーズ,情報・通信業,-
3974,ティビィシィ・スキヤツト,JASDAQ,情報・通信業,-
3976,シャノン,マザーズ,情報・通信業,-
3978,マクロミル,東証1部,情報・通信業,TOPIX Small 1
3979,うるる,マザーズ,情報・通信業,-
3981,ビーグリー,東証1部,情報・通信業,TOPIX Small 2
3983,オロ,東証1部,情報・通信業,TOPIX Small 2
3984,ユーザーローカル,東証1部,情報・通信業,TOPIX Small 2
3985,テモナ,東証1部,情報・通信業,TOPIX Small 2
3986,ビーブレイクシステムズ,マザーズ,情報・通信業,-
3987,エコモット,マザーズ,情報・通信業,-
3988,ＳＹＳホールディングス,JASDAQ,情報・通信業,-
3989,シェアリングテクノロジー,マザーズ,情報・通信業,-
3990,ＵＵＵＭ,マザーズ,情報・通信業,-
3991,ウォンテッドリー,マザーズ,情報・通信業,-
3992,ニーズウェル,東証1部,情報・通信業,TOPIX Small 2
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,マザーズ,情報・通信業,-
3994,マネーフォワード,東証1部,情報・通信業,TOPIX Mid400
3995,ＳＫＩＹＡＫＩ,マザーズ,情報・通信業,-
3996,サインポスト,東証1部,情報・通信業,TOPIX Small 2
3997,トレードワークス,JASDAQ,情報・通信業,-
3998,すららネット,マザーズ,情報・通信業,-
3999,ナレッジスイート,マザーズ,情報・通信業,-
4004,昭和電工,東証1部,化学,TOPIX Mid400
4005,住友化学,東証1部,化学,TOPIX Mid400
4008,住友精化,東証1部,化学,TOPIX Small 2
4011,ヘッドウォータース,マザーズ,情報・通信業,-
4012,アクシス,マザーズ,情報・通信業,-
4013,勤次郎,マザーズ,情報・通信業,-
4014,カラダノート,マザーズ,情報・通信業,-
4015,アララ,マザーズ,情報・通信業,-
4016,ＭＩＴホールディングス,JASDAQ,情報・通信業,-
4017,クリーマ,マザーズ,情報・通信業,-
4019,スタメン,マザーズ,情報・通信業,-
4020,ビートレンド,マザーズ,情報・通信業,-
4021,日産化学,東証1部,化学,TOPIX Mid400
4022,ラサ工業,東証1部,化学,TOPIX Small 2
4023,クレハ,東証1部,化学,TOPIX Small 1
4025,多木化学,東証1部,化学,TOPIX Small 1
4026,神島化学工業,東証2部,ガラス・土石製品,-
4027,テイカ,東証1部,化学,TOPIX Small 2
4028,石原産業,東証1部,化学,TOPIX Small 1
4031,片倉コープアグリ,東証1部,化学,TOPIX Small 2
4041,日本曹達,東証1部,化学,TOPIX Small 1
4042,東ソー,東証1部,化学,TOPIX Mid400
4043,トクヤマ,東証1部,化学,TOPIX Mid400
4044,セントラル硝子,東証1部,化学,TOPIX Small 1
4045,東亞合成,東証1部,化学,TOPIX Mid400
4046,大阪ソーダ,東証1部,化学,TOPIX Small 2
4047,関東電化工業,東証1部,化学,TOPIX Small 1
4051,ＧＭＯフィナンシャルゲート,マザーズ,情報・通信業,-
4052,フィーチャ,マザーズ,情報・通信業,-
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,マザーズ,情報・通信業,-
4054,日本情報クリエイト,マザーズ,情報・通信業,-
4055,ティアンドエス,マザーズ,情報・通信業,-
4056,ニューラルポケット,マザーズ,情報・通信業,-
4057,インターファクトリー,マザーズ,情報・通信業,-
4058,トヨクモ,マザーズ,情報・通信業,-
4059,まぐまぐ,JASDAQ,情報・通信業,-
4060,ｒａｋｕｍｏ,マザーズ,情報・通信業,-
4061,デンカ,東証1部,化学,TOPIX Mid400
4062,イビデン,東証1部,電気機器,TOPIX Mid400
4063,信越化学工業,東証1部,化学,TOPIX Core30
4064,日本カーバイド工業,東証1部,化学,TOPIX Small 2
4068,ベイシス,マザーズ,情報・通信業,-
4069,ＢｌｕｅＭｅｍｅ,マザーズ,情報・通信業,-
4071,プラスアルファ・コンサルティング,マザーズ,情報・通信業,-
4072,電算システムホールディングス,東証1部,情報・通信業,TOPIX Small 2
4073,ジィ・シィ企画,マザーズ,情報・通信業,-
4074,ラキール,マザーズ,情報・通信業,-
4075,ブレインズテクノロジー,マザーズ,情報・通信業,-
4076,シイエヌエス,マザーズ,情報・通信業,-
4078,堺化学工業,東証1部,化学,TOPIX Small 2
4080,田中化学研究所,JASDAQ,化学,-
4082,第一稀元素化学工業,東証1部,化学,TOPIX Small 1
4088,エア・ウォーター,東証1部,化学,TOPIX Mid400
4091,日本酸素ホールディングス,東証1部,化学,TOPIX Mid400
4092,日本化学工業,東証1部,化学,TOPIX Small 2
4093,東邦アセチレン,東証1部,化学,TOPIX Small 2
4094,日本化学産業,東証2部,化学,-
4095,日本パーカライジング,東証1部,化学,TOPIX Small 1
4097,高圧ガス工業,東証1部,化学,TOPIX Small 2
4098,チタン工業,東証1部,化学,TOPIX Small 2
4099,四国化成工業,東証1部,化学,TOPIX Small 2
4100,戸田工業,東証1部,化学,TOPIX Small 2
4102,丸尾カルシウム,東証2部,化学,-
4107,伊勢化学工業,東証2部,化学,-
4109,ステラ　ケミファ,東証1部,化学,TOPIX Small 1
4112,保土谷化学工業,東証1部,化学,TOPIX Small 1
4113,田岡化学工業,東証2部,化学,-
4114,日本触媒,東証1部,化学,TOPIX Mid400
4116,大日精化工業,東証1部,化学,TOPIX Small 2
4118,カネカ,東証1部,化学,TOPIX Mid400
4119,日本ピグメント,東証2部,化学,-
4120,スガイ化学工業,東証2部,化学,-
4124,大阪油化工業,JASDAQ,化学,-
4125,三和油化工業,JASDAQ,化学,-
4151,協和キリン,東証1部,医薬品,TOPIX Mid400
4165,プレイド,マザーズ,情報・通信業,-
4166,かっこ,マザーズ,情報・通信業,-
4167,ココペリ,マザーズ,情報・通信業,-
4168,ヤプリ,マザーズ,情報・通信業,-
4169,ＥＮＥＣＨＡＮＧＥ,マザーズ,情報・通信業,-
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,マザーズ,情報・通信業,-
4171,グローバルインフォメーション,JASDAQ,情報・通信業,-
4172,東和ハイシステム,JASDAQ,情報・通信業,-
4173,ＷＡＣＵＬ,マザーズ,情報・通信業,-
4174,アピリッツ,JASDAQ,情報・通信業,-
4175,ｃｏｌｙ,マザーズ,情報・通信業,-
4176,ココナラ,マザーズ,情報・通信業,-
4177,ｉ‐ｐｌｕｇ,マザーズ,情報・通信業,-
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,マザーズ,情報・通信業,-
4179,ジーネクスト,マザーズ,情報・通信業,-
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,マザーズ,情報・通信業,-
4182,三菱瓦斯化学,東証1部,化学,TOPIX Mid400
4183,三井化学,東証1部,化学,TOPIX Mid400
4185,ＪＳＲ,東証1部,化学,TOPIX Mid400
4186,東京応化工業,東証1部,化学,TOPIX Mid400
4187,大阪有機化学工業,東証1部,化学,TOPIX Small 1
4188,三菱ケミカルホールディングス,東証1部,化学,TOPIX Large70
4189,ＫＨネオケム,東証1部,化学,TOPIX Small 1
4192,スパイダープラス,マザーズ,情報・通信業,-
4193,ファブリカコミュニケーションズ,JASDAQ,情報・通信業,-
4194,ビジョナル,マザーズ,情報・通信業,-
4196,ネオマーケティング,JASDAQ,情報・通信業,-
4198,テンダ,JASDAQ,情報・通信業,-
4199,ワンダープラネット,マザーズ,情報・通信業,-
4200,ＨＣＳホールディングス,JASDAQ,情報・通信業,-
4202,ダイセル,東証1部,化学,TOPIX Mid400
4203,住友ベークライト,東証1部,化学,TOPIX Mid400
4204,積水化学工業,東証1部,化学,TOPIX Mid400
4205,日本ゼオン,東証1部,化学,TOPIX Mid400
4206,アイカ工業,東証1部,化学,TOPIX Mid400
4208,宇部興産,東証1部,化学,TOPIX Mid400
4212,積水樹脂,東証1部,化学,TOPIX Small 2
4215,タキロンシーアイ,東証1部,化学,TOPIX Small 2
4216,旭有機材,東証1部,化学,TOPIX Small 2
4218,ニチバン,東証1部,化学,TOPIX Small 2
4220,リケンテクノス,東証1部,化学,TOPIX Small 2
4221,大倉工業,東証1部,化学,TOPIX Small 2
4222,児玉化学工業,東証2部,化学,-
4224,ロンシール工業,東証2部,化学,-
4228,積水化成品工業,東証1部,化学,TOPIX Small 2
4229,群栄化学工業,東証1部,化学,TOPIX Small 2
4231,タイガースポリマー,東証1部,化学,TOPIX Small 2
4234,サンエー化研,JASDAQ,化学,-
4235,ウルトラファブリックス・ホールディングス,JASDAQ,化学,-
4237,フジプレアム,JASDAQ,化学,-
4238,ミライアル,東証1部,化学,TOPIX Small 2
4240,クラスターテクノロジー,JASDAQ,化学,-
4241,アテクト,JASDAQ,化学,-
4242,タカギセイコー,JASDAQ,化学,-
4243,ニックス,JASDAQ,化学,-
4245,ダイキアクシス,東証1部,化学,TOPIX Small 2
4246,ダイキョーニシカワ,東証1部,化学,TOPIX Small 1
4247,ポバール興業,東証2部,化学,-
4248,竹本容器,東証1部,化学,TOPIX Small 2
4249,森六ホールディングス,東証1部,化学,TOPIX Small 2
4251,恵和,東証1部,化学,TOPIX Small 1
4255,ＴＨＥＣＯＯ,マザーズ,情報・通信業,-
4256,サインド,マザーズ,情報・通信業,-
4258,網屋,マザーズ,情報・通信業,-
4259,エクサウィザーズ,マザーズ,情報・通信業,-
4260,ハイブリッドテクノロジーズ,マザーズ,情報・通信業,-
4261,アジアクエスト,マザーズ,情報・通信業,-
4262,ニフティライフスタイル,マザーズ,情報・通信業,-
4263,サスメド,マザーズ,情報・通信業,-
4264,セキュア,マザーズ,情報・通信業,-
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,マザーズ,情報・通信業,-
4267,ライトワークス,マザーズ,情報・通信業,-
4268,エッジテクノロジー,マザーズ,情報・通信業,-
4270,ＢｅｅＸ,マザーズ,情報・通信業,-
4272,日本化薬,東証1部,化学,TOPIX Mid400
4274,細谷火工,JASDAQ,化学,-
4275,カーリットホールディングス,東証1部,化学,TOPIX Small 2
4284,ソルクシーズ,東証1部,情報・通信業,TOPIX Small 2
4286,ＣＬホールディングス,東証1部,サービス業,TOPIX Small 2
4287,ジャストプランニング,JASDAQ,情報・通信業,-
4288,アズジェント,JASDAQ,情報・通信業,-
4290,プレステージ・インターナショナル,東証1部,サービス業,TOPIX Small 1
4293,セプテーニ・ホールディングス,JASDAQ,サービス業,-
4295,フェイス,東証1部,情報・通信業,TOPIX Small 2
4298,プロトコーポレーション,東証1部,情報・通信業,TOPIX Small 2
4299,ハイマックス,東証1部,情報・通信業,TOPIX Small 2
4301,アミューズ,東証1部,サービス業,TOPIX Small 1
4304,Ｅストアー,JASDAQ,情報・通信業,-
4307,野村総合研究所,東証1部,情報・通信業,TOPIX Mid400
4308,Ｊストリーム,マザーズ,情報・通信業,-
4310,ドリームインキュベータ,東証1部,サービス業,TOPIX Small 2
4312,サイバネットシステム,東証1部,情報・通信業,TOPIX Small 2
4316,ビーマップ,JASDAQ,情報・通信業,-
4317,レイ,JASDAQ,サービス業,-
4318,クイック,東証1部,サービス業,TOPIX Small 2
4319,ＴＡＣ,東証1部,サービス業,TOPIX Small 2
4320,ＣＥホールディングス,東証1部,情報・通信業,TOPIX Small 2
4323,日本システム技術,東証1部,情報・通信業,TOPIX Small 2
4324,電通グループ,東証1部,サービス業,TOPIX Mid400
4326,インテージホールディングス,東証1部,情報・通信業,TOPIX Small 2
4327,日本エス・エイチ・エル,JASDAQ,サービス業,-
4331,テイクアンドギヴ・ニーズ,東証1部,サービス業,TOPIX Small 2
4333,東邦システムサイエンス,東証1部,情報・通信業,TOPIX Small 2
4334,ユークス,JASDAQ,情報・通信業,-
4335,アイ・ピー・エス,JASDAQ,情報・通信業,-
4337,ぴあ,東証1部,サービス業,TOPIX Small 2
4341,西菱電機,東証2部,サービス業,-
4343,イオンファンタジー,東証1部,サービス業,TOPIX Small 2
4344,ソースネクスト,東証1部,情報・通信業,TOPIX Small 2
4345,シーティーエス,東証1部,サービス業,TOPIX Small 2
4346,ネクシィーズグループ,東証1部,サービス業,TOPIX Small 2
4347,ブロードメディア,JASDAQ,サービス業,-
4348,インフォコム,東証1部,情報・通信業,TOPIX Small 1
4350,メディカルシステムネットワーク,東証1部,小売業,TOPIX Small 2
4351,山田債権回収管理総合事務所,JASDAQ,その他金融業,-
4355,ロングライフホールディング,JASDAQ,サービス業,-
4356,応用技術,JASDAQ,情報・通信業,-
4360,マナック・ケミカル・パートナーズ,東証2部,化学,-
4361,川口化学工業,東証2部,化学,-
4362,日本精化,東証1部,化学,TOPIX Small 2
4365,松本油脂製薬,JASDAQ,化学,-
4366,ダイトーケミックス,東証2部,化学,-
4367,広栄化学,東証2部,化学,-
4368,扶桑化学工業,東証1部,化学,TOPIX Small 1
4369,トリケミカル研究所,東証1部,化学,TOPIX Small 1
4370,モビルス,マザーズ,情報・通信業,-
4371,コアコンセプト・テクノロジー,マザーズ,情報・通信業,-
4372,ユミルリンク,マザーズ,情報・通信業,-
4373,シンプレクス・ホールディングス,東証1部,情報・通信業,TOPIX Small 2
4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,マザーズ,情報・通信業,-
4375,セーフィー,マザーズ,情報・通信業,-
4376,くふうカンパニー,マザーズ,情報・通信業,-
4377,ワンキャリア,マザーズ,情報・通信業,-
4378,ＣＩＮＣ,マザーズ,情報・通信業,-
4379,Ｐｈｏｔｏｓｙｎｔｈ,マザーズ,情報・通信業,-
4380,Ｍマート,マザーズ,情報・通信業,-
4381,ビープラッツ,マザーズ,情報・通信業,-
4382,ＨＥＲＯＺ,東証1部,情報・通信業,TOPIX Small 2
4384,ラクスル,東証1部,情報・通信業,TOPIX Small 1
4385,メルカリ,マザーズ,情報・通信業,-
4386,ＳＩＧグループ,東証2部,情報・通信業,-
4387,ＺＵＵ,マザーズ,情報・通信業,-
4388,エーアイ,マザーズ,情報・通信業,-
4389,プロパティデータバンク,マザーズ,情報・通信業,-
4390,ＩＰＳ,東証1部,情報・通信業,TOPIX Small 2
4391,ロジザード,マザーズ,情報・通信業,-
4392,ＦＩＧ,東証1部,情報・通信業,TOPIX Small 2
4393,バンク・オブ・イノベーション,マザーズ,情報・通信業,-
4394,エクスモーション,マザーズ,情報・通信業,-
4395,アクリート,マザーズ,情報・通信業,-
4396,システムサポート,東証1部,情報・通信業,TOPIX Small 2
4397,チームスピリット,マザーズ,情報・通信業,-
4398,ブロードバンドセキュリティ,JASDAQ,情報・通信業,-
4401,ＡＤＥＫＡ,東証1部,化学,TOPIX Mid400
4403,日油,東証1部,化学,TOPIX Mid400
4404,ミヨシ油脂,東証1部,食料品,TOPIX Small 2
4406,新日本理化,東証1部,化学,TOPIX Small 2
4409,東邦化学工業,東証2部,化学,-
4410,ハリマ化成グループ,東証1部,化学,TOPIX Small 2
4412,サイエンスアーツ,マザーズ,情報・通信業,-
4413,ボードルア,マザーズ,情報・通信業,-
4414,フレクト,マザーズ,情報・通信業,-
4415,ブロードエンタープライズ,マザーズ,情報・通信業,-
4416,Ｔｒｕｅ　Ｄａｔａ,マザーズ,情報・通信業,-
4417,グローバルセキュリティエキスパート,マザーズ,情報・通信業,-
4418,ＪＤＳＣ,マザーズ,情報・通信業,-
4419,Ｆｉｎａｔｅｘｔホールディングス,マザーズ,情報・通信業,-
4420,イーソル,東証1部,情報・通信業,TOPIX Small 2
4421,ディ・アイ・システム,JASDAQ,情報・通信業,-
4422,ＶＡＬＵＥＮＥＸ,マザーズ,情報・通信業,-
4423,アルテリア・ネットワークス,東証1部,情報・通信業,TOPIX Small 1
