コード,銘柄名,市場・商品区分,33業種区分,規模区分
9272,ブティックス,マザーズ,サービス業,-
9273,コーア商事ホールディングス,東証1部,卸売業,TOPIX Small 2
9274,国際紙パルプ商事,東証1部,卸売業,TOPIX Small 2
9275,ナルミヤ・インターナショナル,東証1部,小売業,TOPIX Small 2
9278,ブックオフグループホールディングス,東証1部,小売業,TOPIX Small 2
9279,ギフトホールディングス,東証1部,小売業,TOPIX Small 2
9301,三菱倉庫,東証1部,倉庫・運輸関連業,TOPIX Mid400
9302,三井倉庫ホールディングス,東証1部,倉庫・運輸関連業,TOPIX Small 1
9303,住友倉庫,東証1部,倉庫・運輸関連業,TOPIX Small 1
9304,澁澤倉庫,東証1部,倉庫・運輸関連業,TOPIX Small 2
9305,ヤマタネ,東証1部,卸売業,TOPIX Small 2
9306,東陽倉庫,東証1部,倉庫・運輸関連業,TOPIX Small 2
9307,杉村倉庫,東証2部,倉庫・運輸関連業,-
9308,乾汽船,東証1部,海運業,TOPIX Small 2
9310,日本トランスシティ,東証1部,倉庫・運輸関連業,TOPIX Small 2
9311,アサガミ,東証2部,倉庫・運輸関連業,-
9312,ケイヒン,東証1部,倉庫・運輸関連業,TOPIX Small 2
9313,丸八倉庫,東証2部,倉庫・運輸関連業,-
9318,アジア開発キャピタル,東証2部,証券、商品先物取引業,-
9319,中央倉庫,東証1部,倉庫・運輸関連業,TOPIX Small 2
9322,川西倉庫,東証1部,倉庫・運輸関連業,TOPIX Small 2
9324,安田倉庫,東証1部,倉庫・運輸関連業,TOPIX Small 2
9325,ファイズホールディングス,東証1部,倉庫・運輸関連業,TOPIX Small 2
9326,関通,マザーズ,倉庫・運輸関連業,-
9327,イー・ロジット,JASDAQ,倉庫・運輸関連業,-
9351,東洋埠頭,東証1部,倉庫・運輸関連業,TOPIX Small 2
9353,櫻島埠頭,東証2部,倉庫・運輸関連業,-
9355,リンコーコーポレーション,東証2部,倉庫・運輸関連業,-
9360,鈴与シンワート,東証2部,情報・通信業,-
9361,伏木海陸運送,東証2部,倉庫・運輸関連業,-
9362,兵機海運,東証2部,倉庫・運輸関連業,-
9363,大運,東証2部,倉庫・運輸関連業,-
9364,上組,東証1部,倉庫・運輸関連業,TOPIX Mid400
9365,トレーディア,東証2部,倉庫・運輸関連業,-
9366,サンリツ,東証1部,倉庫・運輸関連業,TOPIX Small 2
9367,大東港運,JASDAQ,倉庫・運輸関連業,-
9368,キムラユニティー,東証1部,倉庫・運輸関連業,TOPIX Small 2
9369,キユーソー流通システム,東証1部,倉庫・運輸関連業,TOPIX Small 2
9375,近鉄エクスプレス,東証1部,倉庫・運輸関連業,TOPIX Small 1
9376,ユーラシア旅行社,JASDAQ,サービス業,-
9377,エージーピー,JASDAQ,倉庫・運輸関連業,-
9380,東海運,東証1部,倉庫・運輸関連業,TOPIX Small 2
